medication_id,medication_name,pharm_class_cd,pharm_class_title,simple_generic_cd,simple_generic_title,generic_name,gpi,strength,form,route
3821,MORPHINE 1 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 1 mg/mL injection solution,200972,1 mg/mL,solution,injection
3840,FENTANYL ORALET 200 MCG LOZENGE ON A HANDLE,12733,"OPIOID ANALGESIC, ANESTHETIC ADJUNCT AGENTS",6510002510,FENTANYL CITRATE,fentaNYL 200 mcg (Hosp) lozenge on a handle,157372,200 mcg,lozenge on a handle,buccal
3842,FENTANYL ORALET 400 MCG LOZENGE ON A HANDLE,12733,"OPIOID ANALGESIC, ANESTHETIC ADJUNCT AGENTS",6510002510,FENTANYL CITRATE,fentaNYL 400 mcg (Hosp) lozenge on a handle,243544,400 mcg,lozenge on a handle,buccal
3908,NALBUPHINE 1.5 MG/ML INTRAVENOUS SOLUTION,12236,OPIOID ANALGESICS,6520003010,NALBUPHINE HCL,nalbuphine 1.5 mg/mL intravenous solution,205905,1.5 mg/mL,solution,intravenous
4236,MORPHINE 5 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 5 mg/mL injection solution,261994,5 mg/mL,solution,injection
4237,MEPERIDINE 10 MG/ML INJECTION CARTRIDGE,12236,OPIOID ANALGESICS,6510004510,MEPERIDINE HCL,meperidine 10 mg/mL injection cartridge,444369,10 mg/mL,cartridge,injection
4540,FENTANYL (PF) 50 MCG/ML INJECTION SOLUTION,12733,"OPIOID ANALGESIC, ANESTHETIC ADJUNCT AGENTS",9990304461,FENTANYL CITRATE/PF,fentaNYL (PF) 50 mcg/mL injection solution,254593,50 mcg/mL,solution,injection
4706,FIORINAL-CODEINE #3 30 MG-50 MG-325 MG-40 MG CAPSULE,13118,"OPIOID AND SALICYLATE ANALGESICS,BARBIT,XANTHINE",9990305625,CODEINE/BUTALBITAL/ASA/CAFFEIN,codeine-butalbital-ASA-caffeine 30 mg-50 mg-325 mg-40 mg capsule,229786,30-50-325-40 mg,capsule,oral
4736,FIORICET WITH CODEINE 50 MG-325 MG-40 MG-30 MG CAPSULE,13114,"OPIOID,NON-SALICYL.ANALGESIC,BARBITURATE,XANTHINE",9990305679,BUTALBIT/ACETAMIN/CAFF/CODEINE,butalbitaL 50 mg-acetaminophen 325 mg-caffeine 40 mg-codeine 30 mg cap,244444,50-325-40-30 mg,capsule,oral
5147,CAPITAL WITH CODEINE 120 MG-12 MG/5 ML ORAL SUSPENSION,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990305674,ACETAMINOPHEN WITH CODEINE,acetaminophen 120 mg-codeine 12 mg/5 mL oral suspension,204046,120-12 mg/5 mL,suspension,oral
5155,HYDROCET 5 MG-500 MG CAPSULE,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990304027,HYDROCODONE/ACETAMINOPHEN,HYDROcodone 5 mg-acetaminophen 500 mg capsule,177193,5-500 mg,capsule,oral
5318,STADOL NS 10 MG/ML NASAL SPRAY,12236,OPIOID ANALGESICS,6520002010,BUTORPHANOL TARTRATE,butorphanol 10 mg/mL nasal spray,152664,10 mg/mL,"spray,non-aerosol",nasal
5515,PROPOXYPHENE N-ACETAMINOPHEN 100 MG-650 MG TABLET,12236,OPIOID ANALGESICS,9990304012,PROPOXYPHENE NAP/ACETAMINOPHEN,propoxyphene N-acetaminophen 100 mg-650 mg tablet,220323,100-650 mg,tablet,oral
5522,PROPACET 100 100 MG-650 MG TABLET,12236,OPIOID ANALGESICS,9990304012,PROPOXYPHENE NAP/ACETAMINOPHEN,propoxyphene N-acetaminophen 100 mg-650 mg tablet,220323,100-650 mg,tablet,oral
5528,PROPOXYPHENE COMPOUND-65 65 MG-389 MG-32.4 MG CAPSULE,12236,OPIOID ANALGESICS,9990300004,PROPOXYPHENE/ASPIRIN/CAFFEINE,propoxyphene-ASA-caffeine 65 mg-389 mg-32.4 mg capsule,454219,65-389-32.4 mg,capsule,oral
6052,CO-GESIC 5 MG-500 MG TABLET,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990304027,HYDROCODONE/ACETAMINOPHEN,HYDROcodone 5 mg-acetaminophen 500 mg tablet,265826,5-500 mg,tablet,oral
6139,OXYCODONE-ACETAMINOPHEN 5 MG-500 MG CAPSULE,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990300380,OXYCODONE HCL/ACETAMINOPHEN,oxyCODONE-acetaminophen 5 mg-500 mg capsule,230491,5-500 mg,capsule,oral
6799,OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990300380,OXYCODONE HCL/ACETAMINOPHEN,oxyCODONE-acetaminophen 5 mg-325 mg tablet,218930,5mg-325 mg,tablet,oral
7122,CARISOPRODOL 200 MG-ASPIRIN 325 MG-CODEINE 16 MG TABLET,13499,"SKELETAL MUSCLE RELAXANT,SALICYLAT,OPIOID ANALGESC",9990300345,CARISOPRODOL/ASPIRIN/CODEINE,carisoprodoL 200 mg-aspirin 325 mg-codeine 16 mg tablet,173078,200-325-16 mg,tablet,oral
7214,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL SOLUTION,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine concentrate 100 mg/5 mL (20 mg/mL) oral solution,171547,100 mg/5 mL (20 mg/mL),solution,oral
7219,ASTRAMORPH-PF 4 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,9990304436,MORPHINE SULFATE/PF,morphine (PF) 4 mg/mL injection solution,449955,4 mg/mL,solution,injection
7229,HYDROMORPHONE 2 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,6510003510,HYDROMORPHONE HCL,HYDROmorphone 2 mg/mL injection solution,227449,2 mg/mL,solution,injection
7237,DALGAN 15 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,6520002500,DEZOCINE,dezocine 15 mg/mL injection solution,186883,15 mg/mL,solution,injection
7238,DALGAN 10 MG/ML INJECTION SYRINGE,12236,OPIOID ANALGESICS,6520002500,DEZOCINE,dezocine 10 mg/mL injection syringe,445703,10 mg/mL,syringe,injection
7239,DALGAN 5 MG/ML INJECTION SYRINGE,12236,OPIOID ANALGESICS,6520002500,DEZOCINE,dezocine 5 mg/mL injection syringe,445704,5 mg/mL,syringe,injection
7432,HYDROMORPHONE 10 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,6510003510,HYDROMORPHONE HCL,HYDROmorphone 10 mg/mL injection solution,185029,10 mg/mL,solution,injection
7682,HY-PHEN 5 MG-500 MG TABLET,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990304027,HYDROCODONE/ACETAMINOPHEN,HYDROcodone 5 mg-acetaminophen 500 mg tablet,265826,5-500 mg,tablet,oral
7752,RMS 5 MG RECTAL SUPPOSITORY,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 5 mg rectal suppository,166819,5 mg,suppository,rectal
7753,RMS 10 MG RECTAL SUPPOSITORY,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 10 mg rectal suppository,224233,10 mg,suppository,rectal
7754,RMS 20 MG RECTAL SUPPOSITORY,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 20 mg rectal suppository,198148,20 mg,suppository,rectal
7755,RMS 30 MG RECTAL SUPPOSITORY,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 30 mg rectal suppository,277776,30 mg,suppository,rectal
7756,OMS CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL SOLUTION,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine concentrate 100 mg/5 mL (20 mg/mL) oral solution,171547,100 mg/5 mL (20 mg/mL),solution,oral
7874,MEPROZINE 50 MG-25 MG CAPSULE,12236,OPIOID ANALGESICS,9990300154,MEPERIDINE HCL/PROMETH HCL,meperidine-promethazine 50 mg-25 mg capsule,254957,50-25 mg,capsule,oral
8797,MORPHINE 1 MG/ML INJECTION SYRINGE,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 1 mg/mL injection syringe,445608,1 mg/mL,syringe,injection
8798,MORPHINE 5 MG/ML INJECTION SYRINGE,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 5 mg/mL injection syringe,445686,5 mg/mL,syringe,injection
8799,MEPERIDINE 10 MG/ML INJECTION SYRINGE,12236,OPIOID ANALGESICS,6510004510,MEPERIDINE HCL,meperidine 10 mg/mL injection syringe,444370,10 mg/mL,syringe,injection
8974,MEPERIDINE 10 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,6510004510,MEPERIDINE HCL,meperidine 10 mg/mL injection solution,284540,10 mg/mL,solution,injection
9046,PROPOXYPHENE-ACETAMINOPHEN 65 MG-650 MG TABLET,12236,OPIOID ANALGESICS,9990300151,PROPOXYPHENE HCL/ACETAMINOPHEN,propoxyphene-acetaminophen 65 mg-650 mg tablet,173423,65-650 mg,tablet,oral
9278,LORCET HD 5 MG-500 MG CAPSULE,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990304027,HYDROCODONE/ACETAMINOPHEN,HYDROcodone 5 mg-acetaminophen 500 mg capsule,177193,5-500 mg,capsule,oral
9279,LORCET PLUS 7.5 MG-650 MG TABLET,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990304027,HYDROCODONE/ACETAMINOPHEN,HYDROcodone 7.5 mg-acetaminophen 650 mg tablet,250482,7.5-650 mg,tablet,oral
9303,METHADOSE 10 MG/ML ORAL CONCENTRATE,12236,OPIOID ANALGESICS,6510005010,METHADONE HCL,methadone 10 mg/mL oral concentrate,271337,10 mg/mL,concentrate,oral
9304,METHADOSE 40 MG SOLUBLE TABLET,12236,OPIOID ANALGESICS,6510005010,METHADONE HCL,methadone 40 mg soluble tablet,215791,40 mg,"tablet,soluble",oral
9305,OXYCODONE 5 MG TABLET,12236,OPIOID ANALGESICS,6510007510,OXYCODONE HCL,oxyCODONE 5 mg tablet,298962,5 mg,tablet,oral
9344,METHADOSE 10 MG TABLET,12236,OPIOID ANALGESICS,6510005010,METHADONE HCL,methadone 10 mg tablet,181370,10 mg,tablet,oral
9350,HYDROCODONE 5 MG-ACETAMINOPHEN 500 MG CAPSULE,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990304027,HYDROCODONE/ACETAMINOPHEN,HYDROcodone 5 mg-acetaminophen 500 mg capsule,177193,5-500 mg,capsule,oral
9382,METHADOSE 5 MG TABLET,12236,OPIOID ANALGESICS,6510005010,METHADONE HCL,methadone 5 mg tablet,284189,5 mg,tablet,oral
